movie,director,m_year,critic,crit_org,crit_cn
Mulholland Drive,David Lynch,2001,Simon Abrams,Freelance film critic,US
In the Mood for Love,Wong Kar-wai,2000,Simon Abrams,Freelance film critic,US
The Tree of Life,Terrence Malick,2011,Simon Abrams,Freelance film critic,US
Yi Yi: A One and a Two,Edward Yang,2000,Simon Abrams,Freelance film critic,US
In the Mood for Love,Wong Kar-wai,2000,Sam Adams,Freelance film critic,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Sam Adams,Freelance film critic,US
Spirited Away,Hayao Miyazaki,2001,Sam Adams,Freelance film critic,US
The Grand Budapest Hotel,Wes Anderson,2014,Sam Adams,Freelance film critic,US
The New World,Terrence Malick,2004,Sam Adams,Freelance film critic,US
The Grand Budapest Hotel,Wes Anderson,2014,Thelma Adams,Freelance film critic,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Thelma Adams,Freelance film critic,US
In the Mood for Love,Wong Kar-wai,2000,Arturo Aguilar,Rolling Stone Mexico,Mexico
Mulholland Drive,David Lynch,2001,Arturo Aguilar,Rolling Stone Mexico,Mexico
Inception,Christopher Nolan,2010,Arturo Aguilar,Rolling Stone Mexico,Mexico
Pan's Labyrinth,Guillermo Del Toro,2006,Arturo Aguilar,Rolling Stone Mexico,Mexico
Caché,Michael Haneke,2005,Arturo Aguilar,Rolling Stone Mexico,Mexico
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Arturo Aguilar,Rolling Stone Mexico,Mexico
Holy Motors,Leos Carax,2012,Arturo Aguilar,Rolling Stone Mexico,Mexico
There Will Be Blood,Paul Thomas Anderson,2007,Arturo Aguilar,Rolling Stone Mexico,Mexico
The Piano Teacher,Michael Haneke,2001,Matthew Anderson,BBC Culture,UK
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Matthew Anderson,BBC Culture,UK
Caché,Michael Haneke,2005,Matthew Anderson,BBC Culture,UK
Mulholland Drive,David Lynch,2001,Matthew Anderson,BBC Culture,UK
Boyhood,Richard Linklater,2014,Matthew Anderson,BBC Culture,UK
No Country For Old Men,Joel and Ethan Coen,2007,Tim Appelo,The Wrap,US
Spirited Away,Hayao Miyazaki,2001,Tim Appelo,The Wrap,US
A Separation,Asghar Farhadi,2011,Tim Appelo,The Wrap,US
Pan's Labyrinth,Guillermo Del Toro,2006,Tim Appelo,The Wrap,US
Mulholland Drive,David Lynch,2001,Michael Arbeiter,Nerdist,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Michael Arbeiter,Nerdist,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Michael Arbeiter,Nerdist,US
The Master,Paul Thomas Anderson,2012,Ali Arikan,Dipnot TV,Turkey
Mulholland Drive,David Lynch,2001,Ali Arikan,Dipnot TV,Turkey
Zodiac,David Fincher,2007,Ali Arikan,Dipnot TV,Turkey
A Serious Man,Joel and Ethan Coen,2009,Ali Arikan,Dipnot TV,Turkey
In the Mood for Love,Wong Kar-wai,2000,Ali Arikan,Dipnot TV,Turkey
2046,Wong Kar-wai,2004,Michael Atkinson,The Village Voice,US
Caché,Michael Haneke,2005,Michael Atkinson,The Village Voice,US
Inland Empire,David Lynch,2006,Michael Atkinson,The Village Voice,US
Mulholland Drive,David Lynch,2001,Michael Atkinson,The Village Voice,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Michael Atkinson,The Village Voice,US
There Will Be Blood,Paul Thomas Anderson,2007,Ana Maria Bahiana,Freelance film critic,Brazil
Mulholland Drive,David Lynch,2001,Ana Maria Bahiana,Freelance film critic,Brazil
Children of Men,Alfonso Cuarón,2006,Ana Maria Bahiana,Freelance film critic,Brazil
Pan's Labyrinth,Guillermo Del Toro,2006,Ana Maria Bahiana,Freelance film critic,Brazil
Inception,Christopher Nolan,2010,Ana Maria Bahiana,Freelance film critic,Brazil
No Country For Old Men,Joel and Ethan Coen,2007,Ana Maria Bahiana,Freelance film critic,Brazil
In the Mood for Love,Wong Kar-wai,2000,Cameron Bailey,Toronto Film Festival,Canada
Spirited Away,Hayao Miyazaki,2001,Cameron Bailey,Toronto Film Festival,Canada
The White Ribbon,Michael Haneke,2009,Cameron Bailey,Toronto Film Festival,Canada
The Royal Tenenbaums,Wes Anderson,2001,Lindsay Baker,BBC Culture,UK
Moonrise Kingdom,Wes Anderson,2012,Lindsay Baker,BBC Culture,UK
Spirited Away,Hayao Miyazaki,2001,Lindsay Baker,BBC Culture,UK
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Lindsay Baker,BBC Culture,UK
Inherent Vice,Paul Thomas Anderson,2014,Miriam Bale,Freelance film critic,US
Holy Motors,Leos Carax,2012,Miriam Bale,Freelance film critic,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Miriam Bale,Freelance film critic,US
Boyhood,Richard Linklater,2014,Nicholas Barber,BBC Culture,UK
Children of Men,Alfonso Cuarón,2006,Nicholas Barber,BBC Culture,UK
The Social Network,David Fincher,2010,Nicholas Barber,BBC Culture,UK
A Separation,Asghar Farhadi,2011,Nicholas Barber,BBC Culture,UK
In the Mood for Love,Wong Kar-wai,2000,Diego Batlle,La Nacion,Argentina
Spirited Away,Hayao Miyazaki,2001,Diego Batlle,La Nacion,Argentina
Boyhood,Richard Linklater,2014,Diego Batlle,La Nacion,Argentina
Mulholland Drive,David Lynch,2001,Diego Batlle,La Nacion,Argentina
The Social Network,David Fincher,2010,Diego Batlle,La Nacion,Argentina
Mulholland Drive,David Lynch,2001,NT Binh,Positif,France
In the Mood for Love,Wong Kar-wai,2000,NT Binh,Positif,France
The New World,Terrence Malick,2005,NT Binh,Positif,France
A Separation,Asghar Farhadi,2011,Lizelle Bisschoff,University of Glasgow,UK
In the Mood for Love,Wong Kar-wai,2000,Lizelle Bisschoff,University of Glasgow,UK
The Curious Case of Benjamin Button,David Fincher,2008,Christian Blauvelt,BBC Culture,US
A Serious Man,Joel and Ethan Coen,2009,Christian Blauvelt,BBC Culture,US
Children of Men,Alfonso Cuarón,2006,Andreas Borcholte,Spiegel Online,Germany
No Country For Old Men,Joel and Ethan Coen,2007,Andreas Borcholte,Spiegel Online,Germany
The Tree of Life,Terrence Malick,2011,Andreas Borcholte,Spiegel Online,Germany
Inception,Christopher Nolan,2010,Andreas Borcholte,Spiegel Online,Germany
Amour,Michael Haneke,2012,Utpal Borpujari,Freelance film critic,India
A Separation,Asghar Farhadi,2011,Utpal Borpujari,Freelance film critic,India
In the Mood for Love,Wong Kar-wai,2000,Utpal Borpujari,Freelance film critic,India
The Grand Budapest Hotel,Wes Anderson,2014,Richard Brody,The New Yorker,US
Holy Motors,Leos Carax,2012,Richard Brody,The New Yorker,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Hannah Brown,Jerusalem Post,Israel
The Royal Tenenbaums,Wes Anderson,2001,Hannah Brown,Jerusalem Post,Israel
No Country For Old Men,Joel and Ethan Coen,2007,Hannah Brown,Jerusalem Post,Israel
In the Mood for Love,Wong Kar-wai,2000,Hannah Brown,Jerusalem Post,Israel
Mulholland Drive,David Lynch,2001,Luke Buckmaster,The Guardian/BBC Culture,Australia
There Will Be Blood,Paul Thomas Anderson,2007,Luke Buckmaster,The Guardian/BBC Culture,Australia
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,Luke Buckmaster,The Guardian/BBC Culture,Australia
Spirited Away,Hayao Miyazaki,2001,Luke Buckmaster,The Guardian/BBC Culture,Australia
Children of Men,Alfonso Cuarón,2006,Luke Buckmaster,The Guardian/BBC Culture,Australia
In the Mood for Love,Wong Kar-wai,2000,Luke Buckmaster,The Guardian/BBC Culture,Australia
A Separation,Asghar Farhadi,2011,Luke Buckmaster,The Guardian/BBC Culture,Australia
Caché,Michael Haneke,2005,Luke Buckmaster,The Guardian/BBC Culture,Australia
Boyhood,Richard Linklater,2014,Luke Buckmaster,The Guardian/BBC Culture,Australia
The White Ribbon,Michael Haneke,2009,Luciano Castillo,Cinemateca de Cuba,Cuba
In the Mood for Love,Wong Kar-wai,2000,Luciano Castillo,Cinemateca de Cuba,Cuba
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Luciano Castillo,Cinemateca de Cuba,Cuba
Inside Llewyn Davis,Joel and Ethan Coen,2013,Monica Castillo,New York Times Watching,US
Pan's Labyrinth,Guillermo Del Toro,2006,Monica Castillo,New York Times Watching,US
In the Mood for Love,Wong Kar-wai,2000,Monica Castillo,New York Times Watching,US
Spirited Away,Hayao Miyazaki,2001,Monica Castillo,New York Times Watching,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Monica Castillo,New York Times Watching,US
The Royal Tenenbaums,Wes Anderson,2001,Monica Castillo,New York Times Watching,US
Before Sunset,Richard Linklater,2004,Samuel Castro,El Colombiano,Colombia
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Samuel Castro,El Colombiano,Colombia
Pan's Labyrinth,Guillermo Del Toro,2006,Samuel Castro,El Colombiano,Colombia
A Separation,Asghar Farhadi,2011,Samuel Castro,El Colombiano,Colombia
Mulholland Drive,David Lynch,2001,Justin Chang,Los Angeles Times,US
The Tree of Life,Terrence Malick,2011,Justin Chang,Los Angeles Times,US
In the Mood for Love,Wong Kar-wai,2000,Justin Chang,Los Angeles Times,US
Boyhood,Richard Linklater,2014,Justin Chang,Los Angeles Times,US
Zodiac,David Fincher,2007,Justin Chang,Los Angeles Times,US
The Dark Knight,Christopher Nolan,2008,Justin Chang,Los Angeles Times,US
There Will Be Blood,Paul Thomas Anderson,2007,Enrico Chiesa,AfricaFilms.TV,Senegal
A Separation,Asghar Farhadi,2011,Enrico Chiesa,AfricaFilms.TV,Senegal
No Country For Old Men,Joel and Ethan Coen,2007,Cho Seongyong,Freelance film critic,South Korea
Boyhood,Richard Linklater,2014,Cho Seongyong,Freelance film critic,South Korea
Mulholland Drive,David Lynch,2001,Cho Seongyong,Freelance film critic,South Korea
Pan's Labyrinth,Guillermo Del Toro,2006,Cho Seongyong,Freelance film critic,South Korea
The Social Network,David Fincher,2010,Cho Seongyong,Freelance film critic,South Korea
The Tree of Life,Terrence Malick,2011,Cho Seongyong,Freelance film critic,South Korea
Mulholland Drive,David Lynch,2001,Robbie Collin,The Telegraph,UK
Spirited Away,Hayao Miyazaki,2001,Robbie Collin,The Telegraph,UK
There Will Be Blood,Paul Thomas Anderson,2007,Robbie Collin,The Telegraph,UK
Children of Men,Alfonso Cuarón,2006,Scott Collura,IGN,US
Yi Yi: A One and a Two,Edward Yang,2000,Colin Covert,Minneapolis Star-Tribune,US
Mulholland Drive,David Lynch,2001,Colin Covert,Minneapolis Star-Tribune,US
Children of Men,Alfonso Cuarón,2006,Colin Covert,Minneapolis Star-Tribune,US
Yi Yi: A One and a Two,Edward Yang,2000,Oggs Cruz,Rappler.com,Philippines
Mulholland Drive,David Lynch,2001,Oggs Cruz,Rappler.com,Philippines
Spirited Away,Hayao Miyazaki,2001,Oggs Cruz,Rappler.com,Philippines
There Will Be Blood,Paul Thomas Anderson,2007,Ken Dancyger,New York University,US
The White Ribbon,Michael Haneke,2009,Ken Dancyger,New York University,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Erik Davis,Fandango,US
Boyhood,Richard Linklater,2014,Erik Davis,Fandango,US
Memento,Christopher Nolan,2000,Erik Davis,Fandango,US
There Will Be Blood,Paul Thomas Anderson,2007,Erik Davis,Fandango,US
The Dark Knight,Christopher Nolan,2008,Erik Davis,Fandango,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Erik Davis,Fandango,US
Gravity,Alfonso Cuarón,2013,Erik Davis,Fandango,US
The Tree of Life,Terrence Malick,2011,Peter Debruge,Variety,US
Yi Yi: A One and a Two,Edward Yang,2000,Peter Debruge,Variety,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Peter Debruge,Variety,US
Amour,Michael Haneke,2012,Peter Debruge,Variety,US
In the Mood for Love,Wong Kar-wai,2000,Fernand Denis,La Libre Belgique,Belgium
Boyhood,Richard Linklater,2014,Fernand Denis,La Libre Belgique,Belgium
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Alonso Duralde,TheWrap,US
Spirited Away,Hayao Miyazaki,2001,Alonso Duralde,TheWrap,US
In the Mood for Love,Wong Kar-wai,2000,Alonso Duralde,TheWrap,US
The Tree of Life,Terrence Malick,2011,Bilge Ebiri,The Village Voice,US
In the Mood for Love,Wong Kar-wai,2000,Bilge Ebiri,The Village Voice,US
Yi Yi: A One and a Two,Edward Yang,2000,David Ehrlich,IndieWire,US
The Wind Rises,Hayao Miyazaki,2013,David Ehrlich,IndieWire,US
Mulholland Drive,David Lynch,2001,David Ehrlich,IndieWire,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Kate Erbland,IndieWire,US
Fantastic Mr Fox,Wes Anderson,2009,Kate Erbland,IndieWire,US
Caché,Michael Haneke,2005,Mario Espinosa,Cinemateca de Cuba,Cuba
Mulholland Drive,David Lynch,2001,Mario Espinosa,Cinemateca de Cuba,Cuba
Yi Yi: A One and a Two,Edward Yang,2000,Joseph Fahim,Freelance film critic,Egypt
There Will Be Blood,Paul Thomas Anderson,2007,Joseph Fahim,Freelance film critic,Egypt
Boyhood,Richard Linklater,2014,Joseph Fahim,Freelance film critic,Egypt
Caché,Michael Haneke,2005,Joseph Fahim,Freelance film critic,Egypt
Zodiac,David Fincher,2007,Devin Faraci,Birth.Movies.Death.,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Devin Faraci,Birth.Movies.Death.,US
There Will Be Blood,Paul Thomas Anderson,2007,Devin Faraci,Birth.Movies.Death.,US
There Will Be Blood,Paul Thomas Anderson,2007,David Fear,Rolling Stone,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,David Fear,Rolling Stone,US
Yi Yi: A One and a Two,Edward Yang,2000,David Fear,Rolling Stone,US
Boyhood,Richard Linklater,2014,David Fear,Rolling Stone,US
The Social Network,David Fincher,2010,David Fear,Rolling Stone,US
Mulholland Drive,David Lynch,2001,David Fear,Rolling Stone,US
In the Mood for Love,Wong Kar-wai,2000,David Fear,Rolling Stone,US
The Social Network,David Fincher,2010,Scott Feinberg,The Hollywood Reporter,US
A Serious Man,Joel and Ethan Coen,2009,Scott Feinberg,The Hollywood Reporter,US
Spirited Away,Hayao Miyazaki,2001,Javier Porta Fouz,La Nacion,Argentina
The Tree of Life,Terrence Malick,2011,Kenji Fujishima,Freelance film critic,US
Children of Men,Alfonso Cuarón,2006,Ernesto Garratt,El Mercurio,Chile
Mulholland Drive,David Lynch,2001,Ernesto Garratt,El Mercurio,Chile
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Ernesto Garratt,El Mercurio,Chile
The Social Network,David Fincher,2010,Ernesto Garratt,El Mercurio,Chile
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Steven Gaydos,Variety,US
Zodiac,David Fincher,2007,Noah Gittell,Washington City Paper,US
Punch-Drunk Love,Paul Thomas Anderson,2002,Noah Gittell,Washington City Paper,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Noah Gittell,Washington City Paper,US
Mulholland Drive,David Lynch,2001,Ed Gonzalez,Slant Magazine,US
In the Mood for Love,Wong Kar-wai,2000,Ed Gonzalez,Slant Magazine,US
The New World,Terrence Malick,2005,Ed Gonzalez,Slant Magazine,US
In the Mood for Love,Wong Kar-wai,2000,Juan Carlos González,El Tiempo,Colombia
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Juan Carlos González,El Tiempo,Colombia
A Separation,Asghar Farhadi,2011,Juan Carlos González,El Tiempo,Colombia
There Will Be Blood,Paul Thomas Anderson,2007,Juan Carlos González,El Tiempo,Colombia
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Juan Carlos González,El Tiempo,Colombia
In the Mood for Love,Wong Kar-wai,2000,Carmen Gray,Berlin Critics’ Week,Germany
Zodiac,David Fincher,2007,Tim Grierson,Screen International,US
There Will Be Blood,Paul Thomas Anderson,2007,Tim Grierson,Screen International,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Tim Grierson,Screen International,US
Yi Yi: A One and a Two,Edward Yang,2000,Tim Grierson,Screen International,US
The Master,Paul Thomas Anderson,2012,Tim Grierson,Screen International,US
Boyhood,Richard Linklater,2014,Tim Grierson,Screen International,US
Memento,Christopher Nolan,2000,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Amour,Michael Haneke,2012,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Mulholland Drive,David Lynch,2001,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Mulholland Drive,David Lynch,2001,Antoine Guillot,France Culture,France
Holy Motors,Leos Carax,2012,Antoine Guillot,France Culture,France
Pan's Labyrinth,Guillermo Del Toro,2006,Antoine Guillot,France Culture,France
Spirited Away,Hayao Miyazaki,2001,Antoine Guillot,France Culture,France
The New World,Terrence Malick,2005,Tom Gunning,University of Chicago,US
There Will Be Blood,Paul Thomas Anderson,2007,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Mulholland Drive,David Lynch,2001,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Spirited Away,Hayao Miyazaki,2001,Hauvick Habechian,An-Nahar Newspaper,Lebanon
In the Mood for Love,Wong Kar-wai,2000,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Yi Yi: A One and a Two,Edward Yang,2000,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Angie Han,Slashfilm,US
Boyhood,Richard Linklater,2014,Angie Han,Slashfilm,US
Gone Girl,David Fincher,2014,Angie Han,Slashfilm,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Angie Han,Slashfilm,US
Children of Men,Alfonso Cuarón,2006,Aisha Harris,Slate,US
Before Midnight,Richard Linklater,2013,Aisha Harris,Slate,US
A Separation,Asghar Farhadi,2011,Tina Hassannia,Freelance film critic,Canada
The Royal Tenenbaums,Wes Anderson,2001,Tina Hassannia,Freelance film critic,Canada
Fantastic Mr Fox,Wes Anderson,2012,Shiguehiko Hasumi,University of Tokyo,Japan
Holy Motors,Leos Carax,2012,Shiguehiko Hasumi,University of Tokyo,Japan
The White Ribbon,Michael Haneke,2009,Katarina Hedrén,Freelance film critic,South Africa
A Serious Man,Joel and Ethan Coen,2009,Jordan Hoffman,Freelance film critic,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Jordan Hoffman,Freelance film critic,US
Waking Life,Richard Linklater,2001,Jordan Hoffman,Freelance film critic,US
There Will Be Blood,Paul Thomas Anderson,2007,Jordan Hoffman,Freelance film critic,US
The Social Network,David Fincher,2010,Michael Hogan,Vanity Fair,US
Boyhood,Richard Linklater,2014,Michael Hogan,Vanity Fair,US
No Country For Old Men,Joel and Ethan Coen,2007,Michael Hogan,Vanity Fair,US
The Dark Knight,Christopher Nolan,2008,Michael Hogan,Vanity Fair,US
Children of Men,Alfonso Cuarón,2006,Ann Hornaday,The Washington Post,US
There Will Be Blood,Paul Thomas Anderson,2007,Ann Hornaday,The Washington Post,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Ann Hornaday,The Washington Post,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Ann Hornaday,The Washington Post,US
Boyhood,Richard Linklater,2014,Ann Hornaday,The Washington Post,US
The Master,Paul Thomas Anderson,2012,Alexander Horwath,Austrian Film Museum,Austria
Boyhood,Richard Linklater,2014,Peter Howell,The Toronto Star,Canada
Holy Motors,Leos Carax,2012,Peter Howell,The Toronto Star,Canada
The Tree of Life,Terrence Malick,2011,Peter Howell,The Toronto Star,Canada
In the Mood for Love,Wong Kar-wai,2000,Peter Howell,The Toronto Star,Canada
Inside Llewyn Davis,Joel and Ethan Coen,2013,Peter Howell,The Toronto Star,Canada
Memento,Christopher Nolan,2000,Peter Howell,The Toronto Star,Canada
Y Tu Mamá También,Alfonso Cuarón,2001,Peter Howell,The Toronto Star,Canada
Mulholland Drive,David Lynch,2001,Peter Howell,The Toronto Star,Canada
A Separation,Asghar Farhadi,2011,Annette Insdorf,Columbia University,US
Amour,Michael Haneke,2012,Annette Insdorf,Columbia University,US
The Dark Knight,Christopher Nolan,2008,Aysha Iqbal,Indian Institute of Technology,India
Inception,Christopher Nolan,2010,Aysha Iqbal,Indian Institute of Technology,India
In the Mood for Love,Wong Kar-wai,2000,Aysha Iqbal,Indian Institute of Technology,India
No Country For Old Men,Joel and Ethan Coen,2007,Aysha Iqbal,Indian Institute of Technology,India
The Tree of Life,Terrence Malick,2011,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Boyhood,Richard Linklater,2014,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Caché,Michael Haneke,2005,Larushka Ivan-Zadeh,Metro,UK
Spirited Away,Hayao Miyazaki,2001,Larushka Ivan-Zadeh,Metro,UK
Boyhood,Richard Linklater,2014,Larushka Ivan-Zadeh,Metro,UK
In the Mood for Love,Wong Kar-wai,2000,Nick James,Sight & Sound,UK
Caché,Michael Haneke,2005,Nick James,Sight & Sound,UK
Yi Yi: A One and a Two,Edward Yang,2000,Nick James,Sight & Sound,UK
There Will Be Blood,Paul Thomas Anderson,2007,Nick James,Sight & Sound,UK
The Tree of Life,Terrence Malick,2011,David Jenkins,Little White Lies,UK
Punch-Drunk Love,Paul Thomas Anderson,2002,David Jenkins,Little White Lies,UK
The Master,Paul Thomas Anderson,2012,Kent Jones,Film Comment,US
The Tree of Life,Terrence Malick,2011,Kent Jones,Film Comment,US
Zodiac,David Fincher,2007,Kent Jones,Film Comment,US
There Will Be Blood,Paul Thomas Anderson,2007,Kent Jones,Film Comment,US
A Serious Man,Joel and Ethan Coen,2009,Kent Jones,Film Comment,US
Moonrise Kingdom,Wes Anderson,2012,Kent Jones,Film Comment,US
Spirited Away,Hayao Miyazaki,2001,Manuel Kalmanovitz,Revista Semana,Colombia
Mulholland Drive,David Lynch,2001,Manuel Kalmanovitz,Revista Semana,Colombia
The Tree of Life,Terrence Malick,2011,Dominik Kamalzadeh,Der Standard,Austria
Holy Motors,Leos Carax,2012,Dominik Kamalzadeh,Der Standard,Austria
The Royal Tenenbaums,Wes Anderson,2001,Butheina Kazim,Cinema Akil,UAE
Inside Llewyn Davis,Joel and Ethan Coen,2013,Glenn Kenny,Freelance,US
The Master,Paul Thomas Anderson,2012,Glenn Kenny,Freelance,US
There Will Be Blood,Paul Thomas Anderson,2007,Glenn Kenny,Freelance,US
In the Mood for Love,Wong Kar-wai,2000,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
The White Ribbon,Michael Haneke,2009,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Uri Klein,Haaretz,Israel
A Separation,Asghar Farhadi,2011,Uri Klein,Haaretz,Israel
Boyhood,Richard Linklater,2014,Eric Kohn,IndieWire,US
Holy Motors,Leos Carax,2012,Eric Kohn,IndieWire,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Eric Kohn,IndieWire,US
Spirited Away,Hayao Miyazaki,2001,Dan Kois,Slate,US
Yi Yi: A One and a Two,Edward Yang,2000,Dan Kois,Slate,US
Before Sunset,Richard Linklater,2004,Dan Kois,Slate,US
Mulholland Drive,David Lynch,2001,Michael Koresky,The Film Society of Lincoln Center,US
The Tree of Life,Terrence Malick,2011,Michael Koresky,The Film Society of Lincoln Center,US
Before Sunset,Richard Linklater,2004,Michael Koresky,The Film Society of Lincoln Center,US
A Separation,Asghar Farhadi,2011,Tomris Laffly,Freelance film critic,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Tomris Laffly,Freelance film critic,US
The White Ribbon,Michael Haneke,2009,Rebecca Laurence,BBC Culture,UK
No Country For Old Men,Joel and Ethan Coen,2007,Rebecca Laurence,BBC Culture,UK
A Separation,Asghar Farhadi,2011,Rebecca Laurence,BBC Culture,UK
In the Mood for Love,Wong Kar-wai,2000,Rebecca Laurence,BBC Culture,UK
