movie,director,m_year,dir_cn,count,critic,crit_cn
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,"Iasi, Romania",17,"Arturo Aguilar, Matthew Anderson, Hannah Brown, Luciano Castillo, Alonso Duralde, David Fear, Steven Gaydos, Juan Carlos González, Ann Hornaday, Uri Klein, Maggie Lee, Lee Marshall, Farran Smith Nehme, Katey Rich, Ella Taylor, Wen Tien-Hsiang, Stephen Whitty","Mexico, UK, Israel, Cuba, US, Colombia, Hong Kong, Italy, Taiwan"
A Separation,Asghar Farhadi,2011,"Khomeyni Shahr, Isfahan, Iran",28,"Tim Appelo, Nicholas Barber, Lizelle Bisschoff, Utpal Borpujari, Luke Buckmaster, Samuel Castro, Enrico Chiesa, Juan Carlos González, Tina Hassannia, Annette Insdorf, Uri Klein, Tomris Laffly, Rebecca Laurence, Maggie Lee, Ben Mankiewicz, Lee Marshall, Farran Smith Nehme, Susanne Ostwald, Zakir Hossein Raju, Mauricio Reina, Rene Rodriguez, Eric Sasono, Matt Zoller Seitz, David Stratton, Scott Tobias, Wen Tien-Hsiang, Stephen Whitty, Raymond Zhou","US, UK, India, Australia, Colombia, Senegal, Canada, Israel, Hong Kong, Italy, Switzerland, Bangladesh, Indonesia, Taiwan, China"
Boyhood,Richard Linklater,2014,"Houston, Texas, USA",30,"Matthew Anderson, Nicholas Barber, Diego Batlle, Luke Buckmaster, Justin Chang, Cho Seongyong, Erik Davis, Fernand Denis, Joseph Fahim, David Fear, Tim Grierson, Angie Han, Michael Hogan, Ann Hornaday, Peter Howell, Zhanna Issabayeva, Larushka Ivan-Zadeh, Eric Kohn, Kate Muir, Joe Neumaier, Chris Newbould, Susanne Ostwald, Michael Phillips, Claudia Puig, Alyssa Rosenberg, Joshua Rothkopf, Avner Shavit, Matt Singer, Scott Tobias, Stephen Whitty","UK, Argentina, Australia, US, South Korea, Belgium, Egypt, Canada, Kazakhstan, UAE, Switzerland, Israel"
Children of Men,Alfonso Cuarón,2006,"Mexico City, Distrito Federal, Mexico",18,"Ana Maria Bahiana, Nicholas Barber, Andreas Borcholte, Luke Buckmaster, Scott Collura, Colin Covert, Ernesto Garratt, Aisha Harris, Ann Hornaday, Richard Lawson, Todd McCarthy, Amy Nicholson, Steve Persall, Jordan Raup, Mohammed Rouda, Soh Jae Yong, Peter Travers, Stephanie Zacharek","Brazil, UK, Germany, Australia, US, Chile, Lebanon, South Korea"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,"Versailles, Seine-et-Oise [now Yvelines], France",29,"Sam Adams, Thelma Adams, Michael Arbeiter, Michael Atkinson, Lindsay Baker, Monica Castillo, Samuel Castro, Erik Davis, Peter Debruge, Ernesto Garratt, Noah Gittell, Juan Carlos González, Angie Han, Ann Hornaday, Eric Kohn, Richard Lawson, Guy Lodge, Fiona Macdonald, Drew McWeeny, Chris Nashawaty, Amy Nicholson, Matthew Patches, Scott Renshaw, Katey Rich, Sam Rigby, Mike Ryan, Alaka Sahani, Fernanda Solórzano, Chadi Zeneddine","US, UK, Colombia, Chile, India, Mexico, Qatar"
Holy Motors,Leos Carax,2012,"Suresnes, Seine [now Hauts-de-Seine], France",16,"Arturo Aguilar, Miriam Bale, Richard Brody, Antoine Guillot, Shiguehiko Hasumi, Peter Howell, Dominik Kamalzadeh, Eric Kohn, Laya Maheshwari, Adrian Martin, Drew McWeeny, Alberto Ramos Ruiz, Scott Renshaw, Matt Singer, Eric D Snider, Kristin Thompson","Mexico, US, France, Japan, Canada, Austria, India, Australia, Cuba"
In the Mood for Love,Wong Kar-wai,2000,"Shanghai, China",49,"Simon Abrams, Sam Adams, Arturo Aguilar, Ali Arikan, Cameron Bailey, Diego Batlle, NT Binh, Lizelle Bisschoff, Utpal Borpujari, Hannah Brown, Luke Buckmaster, Luciano Castillo, Monica Castillo, Justin Chang, Fernand Denis, Alonso Duralde, Bilge Ebiri, David Fear, Ed Gonzalez, Juan Carlos González, Carmen Gray, Hauvick Habechian, Peter Howell, Aysha Iqbal, Nick James, Andreas Kilb, Rebecca Laurence, Maggie Lee, Mario Naito López, Verena Lueken, Fiona Macdonald, Keith Phipps, Zakir Hossein Raju, Jordan Raup, Scott Renshaw, Katey Rich, Antonio Mazón Robau, Rene Rodriguez, Joshua Rothkopf, Alaka Sahani, Nick Schager, Missy Schwartz, Soh Jae Yong, Alin Tasciyan, Stephen Teo, Kristin Thompson, Peter Travers, Wen Tien-Hsiang, Chadi Zeneddine","US, Mexico, Turkey, Canada, Argentina, France, UK, India, Israel, Australia, Cuba, Belgium, Colombia, Germany, Lebanon, Hong Kong, Bangladesh, South Korea, Singapore, Taiwan, Qatar"
Inside Llewyn Davis,Joel Coen,2013,"Minneapolis, Minnesota, USA",20,"Michael Arbeiter, Miriam Bale, Monica Castillo, Erik Davis, Kate Erbland, Devin Faraci, Tim Grierson, Angie Han, Jordan Hoffman, Peter Howell, Glenn Kenny, Tomris Laffly, Joe Neumaier, Jordan Raup, Scott Renshaw, Sam Rigby, Mike Ryan, Matt Singer, Justine A Smith, Eric D Snider","US, Canada, UK"
Mulholland Drive,David Lynch,2001,"Missoula, Montana, USA",47,"Simon Abrams, Arturo Aguilar, Matthew Anderson, Michael Arbeiter, Ali Arikan, Michael Atkinson, Ana Maria Bahiana, Diego Batlle, NT Binh, Luke Buckmaster, Justin Chang, Cho Seongyong, Robbie Collin, Colin Covert, Oggs Cruz, David Ehrlich, Mario Espinosa, David Fear, Ernesto Garratt, Ed Gonzalez, Jean-Philippe Guerand, Antoine Guillot, Hauvick Habechian, Peter Howell, Manuel Kalmanovitz, Michael Koresky, Verena Lueken, Calum Marsh, Todd McCarthy, Kim Morgan, Kate Muir, Michael Phillips, Keith Phipps, Isabelle Regnier, Tim Robey, Rene Rodriguez, Joshua Rothkopf, Nick Schager, Avner Shavit, Matt Singer, Soh Jae Yong, Fernanda Solórzano, Charles Taylor, Peter Travers, Wen Tien-Hsiang, Stephanie Zacharek, Chadi Zeneddine","US, Mexico, UK, Turkey, Brazil, Argentina, France, Australia, South Korea, Philippines, Cuba, Chile, Lebanon, Canada, Colombia, Germany, Israel, Taiwan, Qatar"
No Country For Old Men,Joel Coen,2007,"Minneapolis, Minnesota, USA",21,"Tim Appelo, Ana Maria Bahiana, Andreas Borcholte, Hannah Brown, Cho Seongyong, Michael Hogan, Aysha Iqbal, Rebecca Laurence, Richard Lawson, Ben Mankiewicz, Lee Marshall, Antonio Martínez, Matthew Patches, Rene Rodriguez, Missy Schwartz, Soh Jae Yong, David Stratton, Stephen Teo, Peter Travers, Stephen Whitty, Alissa Wilkinson","US, Brazil, Germany, Israel, South Korea, India, UK, Italy, Chile, Australia, Singapore"
Pan's Labyrinth,Guillermo Del Toro,2006,"Guadalajara, Jalisco, Mexico",17,"Arturo Aguilar, Tim Appelo, Ana Maria Bahiana, Monica Castillo, Samuel Castro, Cho Seongyong, Antoine Guillot, Anastasiya Lelyukh, Laya Maheshwari, Chris Newbould, Steve Persall, Claudia Puig, Mauricio Reina, Carrie Rickey, Kristin Thompson, Rahul Verma, Stephen Whitty","Mexico, US, Brazil, Colombia, South Korea, France, UAE, India, UK"
Spirited Away,Hayao Miyazaki,2001,"Tokyo, Japan",34,"Sam Adams, Tim Appelo, Cameron Bailey, Lindsay Baker, Diego Batlle, Luke Buckmaster, Monica Castillo, Robbie Collin, Oggs Cruz, Alonso Duralde, Javier Porta Fouz, Antoine Guillot, Hauvick Habechian, Larushka Ivan-Zadeh, Manuel Kalmanovitz, Dan Kois, Maggie Lee, Guy Lodge, Verena Lueken, Lee Marshall, Antonio Martínez, Susanne Ostwald, Matthew Patches, Hannah Pilarczyk, Zakir Hossein Raju, Tasha Robinson, Rene Rodriguez, Alyssa Rosenberg, Eric Sasono, Yael Shuv, Alin Tasciyan, Stephen Teo, Wen Tien-Hsiang, Chadi Zeneddine","US, Canada, UK, Argentina, Australia, Philippines, France, Lebanon, Colombia, Hong Kong, Germany, Italy, Chile, Switzerland, Bangladesh, Indonesia, Israel, Turkey, Singapore, Taiwan, Qatar"
The Tree of Life,Terrence Malick,2011,"Ottawa, Illinois, USA",23,"Simon Abrams, Andreas Borcholte, Justin Chang, Cho Seongyong, Peter Debruge, Bilge Ebiri, Kenji Fujishima, Peter Howell, Zhanna Issabayeva, David Jenkins, Kent Jones, Dominik Kamalzadeh, Michael Koresky, Laya Maheshwari, Kate Muir, Matthew Patches, Jordan Raup, Mohammed Rouda, Nick Schager, Matt Zoller Seitz, Scott Tobias, Jake Wilson, Chadi Zeneddine","US, Germany, South Korea, Canada, Kazakhstan, UK, Austria, India, Lebanon, Australia, Qatar"
There Will Be Blood,Paul Thomas Anderson,2007,"Studio City, California, USA",35,"Arturo Aguilar, Ana Maria Bahiana, Luke Buckmaster, Enrico Chiesa, Robbie Collin, Ken Dancyger, Erik Davis, Joseph Fahim, Devin Faraci, David Fear, Juan Carlos González, Tim Grierson, Hauvick Habechian, Jordan Hoffman, Ann Hornaday, Nick James, Kent Jones, Glenn Kenny, Kim Morgan, Joe Neumaier, Steve Persall, Michael Phillips, Mauricio Reina, Katey Rich, Tim Robey, Rene Rodriguez, Mohammed Rouda, Nick Schager, Catherine Shoard, Yael Shuv, Kristin Thompson, Scott Tobias, Peter Travers, Stephen Whitty, Alissa Wilkinson","Mexico, Brazil, Australia, Senegal, UK, US, Egypt, Colombia, Lebanon, Israel"
Yi Yi: A One and a Two,Edward Yang,2000,"Shanghai, China",22,"Simon Abrams, Colin Covert, Oggs Cruz, Peter Debruge, David Ehrlich, Joseph Fahim, David Fear, Tim Grierson, Hauvick Habechian, Nick James, Dan Kois, Maggie Lee, Lee Marshall, Farran Smith Nehme, Keith Phipps, Rene Rodriguez, Joshua Rothkopf, Yael Shuv, Scott Tobias, Wen Tien-Hsiang, Alissa Wilkinson, Stephanie Zacharek","US, Philippines, Egypt, Lebanon, UK, Hong Kong, Italy, Israel, Taiwan"
